PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,AccHR_X,AccHR_Y,AccHR_Z,Gyr_X,Gyr_Y,Gyr_Z,GyrHR_X,GyrHR_Y,GyrHR_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
45264,1231539,-0.029691,0.183858,9.84821,0.000016,-0.001538,0.062253,,,,0.006341,-0.001529,0.004012,,,,,,,-0.000074,0.000459,0.024621,1,0.000008,-0.000002,0.000005,,0.999954,0.009402,0.001522,0.001242,1.077633,0.173071,0.143901,0.999993,0.002512,-0.003021,-0.002454,0.99982,0.018807,0.003067,-0.018799,0.999819,,,,,,,30.53,,,
45265,1231564,0.556601,0.715487,10.120084,0.585872,0.527212,0.342266,,,,-0.013337,0.000622,0.002874,,,,,,,0.001392,0.00179,0.0253,1,-0.000017,0.000001,0.000004,,0.999954,0.009385,0.001522,0.001244,1.075623,0.173029,0.144185,0.999992,0.002516,-0.00302,-0.002459,0.999821,0.018772,0.003067,-0.018764,0.999819,,,,,,,30.53,,,
45266,1231589,0.710459,-0.027987,9.811391,0.740979,-0.210097,0.019205,,,,-0.00318,0.007952,0.007776,,,,,,,0.001777,-0.00007,0.024528,1,-0.000004,0.00001,0.00001,,0.999954,0.00938,0.001531,0.001253,1.075117,0.174087,0.145252,0.999992,0.002535,-0.003038,-0.002478,0.999821,0.018763,0.003085,-0.018755,0.99982,,,,,,,30.53,,,
45267,1231614,0.914937,0.007779,9.796561,0.94539,-0.173448,0.004418,,,,-0.003313,0.005598,0.003158,,,,-0.153736,-0.123433,0.352053,0.002288,0.00002,0.024491,1,-0.000004,0.000007,0.000004,100258,0.999954,0.009375,0.001537,0.001257,1.07459,0.17482,0.145651,0.999992,0.002542,-0.003051,-0.002484,0.999821,0.018754,0.003098,-0.018746,0.99982,,,,,,,30.53,,,
45268,1231639,0.972669,0.465212,10.095598,1.003876,0.278207,0.31171,,,,0.002179,0.021533,-0.010553,,,,,,,0.002433,0.001163,0.025239,1,0.000003,0.000027,-0.000013,,0.999954,0.009378,0.001564,0.001243,1.074843,0.177871,0.14413,0.999992,0.002516,-0.003104,-0.002457,0.999821,0.018758,0.003151,-0.018751,0.999819,,,,,,,30.53,,,
45269,1231664,0.364015,0.161689,9.700605,0.394964,-0.018561,-0.086998,,,,-0.016092,0.01632,-0.02885,,,,,,,0.000911,0.000405,0.024251,1,-0.00002,0.00002,-0.000036,,0.999954,0.009357,0.001584,0.001206,1.072426,0.180162,0.139868,0.999992,0.002441,-0.003144,-0.002382,0.999822,0.018716,0.00319,-0.018709,0.99982,,,,,,,30.53,,,
45270,1231689,0.212051,-0.278053,9.607039,0.24395,-0.45742,-0.18831,,,,0.004258,0.01326,-0.014091,,,,,,,0.000531,-0.000695,0.024018,1,0.000005,0.000017,-0.000018,,0.999954,0.009361,0.0016,0.001188,1.072976,0.182038,0.137817,0.999992,0.002405,-0.003177,-0.002345,0.999822,0.018726,0.003222,-0.018718,0.999819,,,,,,,30.53,,,
45271,1231714,0.211886,0.481473,9.959729,0.243147,0.295658,0.178541,,,,-0.003986,0.00524,-0.027074,,,,-0.156132,-0.12441,0.350549,0.00053,0.001204,0.024899,1,-0.000005,0.000007,-0.000034,100255,0.999954,0.009356,0.001606,0.001153,1.072338,0.182801,0.133886,0.999992,0.002337,-0.00319,-0.002277,0.999822,0.018715,0.003234,-0.018707,0.99982,,,,,,,30.52,,,
45272,1231739,0.477866,-0.168556,9.64022,0.509628,-0.347412,-0.153915,,,,-0.008115,0.005301,-0.029254,,,,,,,0.001195,-0.000421,0.024101,1,-0.00001,0.000007,-0.000037,,0.999954,0.009345,0.001613,0.001116,1.071108,0.183578,0.129643,0.999992,0.002263,-0.003204,-0.002202,0.999823,0.018693,0.003246,-0.018686,0.99982,,,,,,,30.52,,,
45273,1231764,0.76211,-0.327113,9.589389,0.794527,-0.504678,-0.208666,,,,0.001774,0.013616,-0.026478,,,,,,,0.001906,-0.000818,0.023973,1,0.000002,0.000017,-0.000033,,0.999955,0.009347,0.001629,0.001082,1.071251,0.185473,0.125768,0.999993,0.002195,-0.003237,-0.002134,0.999823,0.018696,0.003278,-0.018689,0.99982,,,,,,,30.52,,,
